,Unnamed: 0,English,Arabic
0,0,the,ال
1,1,be,يكون
2,2,of,من
3,3,a,أ
4,4,in,في
5,5,to,إلى
6,6,have,لديه
7,7,it,إنه
8,8,I,أنا
9,9,that,ذلك
10,10,for,ل
11,11,you,أنت
12,12,he,هو
13,13,with,مع
14,14,on,على
15,15,do,فعل
16,16,say,يقول
17,17,this,هذا
18,18,they,هم
19,19,at,في
20,20,but,لكن
21,21,we,نحن
22,22,his,له
23,23,from,من
24,24,not,ليس
25,25,by,بواسطة
26,26,she,هي
27,27,or,أو
28,28,as,كما
29,29,what,ماذا
30,30,go,يذهب
31,31,their,لهم
32,32,can,يمكن
33,33,who,من
34,34,get,يحصل على
35,35,if,إذا
36,36,would,سيكون
37,37,her,لها
38,38,all,الكل
39,39,my,لي
40,40,make,يصنع
41,41,about,عن
42,42,know,يعرف
43,43,will,سوف
44,44,up,فوق
45,45,one,واحد
46,46,time,وقت
47,47,there,هناك
48,48,year,سنة
49,49,so,لذلك
50,50,think,يفكر
51,51,when,متى
52,52,which,أي
53,53,them,هم
54,54,some,بعض
55,55,me,أنا
56,56,people,الناس
57,57,take,يأخذ
58,58,out,خارج
59,59,into,في
60,60,just,فقط
61,61,see,يرى
62,62,him,هو
63,63,your,لك
64,64,come,يأتي
65,65,could,يستطيع
66,66,now,الآن
67,67,than,أكثر من
68,68,like,يحب
69,69,other,آخر
70,70,how,كيف
71,71,then,ثم
72,72,its,له
73,73,our,لنا
74,74,two,اثنان
75,75,more,أكثر
76,76,these,هؤلاء
77,77,want,يريد
78,78,way,طريق
79,79,look,ينظر
80,80,first,أول
81,81,also,أيضا
82,82,new,جديد
83,83,because,لأن
84,84,day,يوم
85,85,more,أكثر
86,86,use,يستخدم
87,87,no,لا
88,88,man,رجل
89,89,find,يجد
90,90,here,هنا
91,91,thing,شيء
92,92,give,يعطي
93,93,many,كثير
94,94,well,جيد
95,95,only,فقط
96,96,those,أولئك
97,97,tell,يخبر
98,98,one,واحد
99,99,very,جدا
100,100,her,لها
101,101,even,حتى
102,102,back,الى الخلف
103,103,any,أي
104,104,good,جيد
105,105,woman,امرأة
106,106,through,عبر
107,107,us,نحن
108,108,life,حياة
109,110,work,عمل
110,111,down,أسفل
111,112,may,قد
112,113,after,بعد
113,115,call,يتصل
114,116,world,عالم
115,117,over,فوق
116,118,school,مدرسة
117,119,still,ما زال
118,120,try,يحاول
119,121,in,في
120,122,as,كما
121,123,last,أخير
122,124,need,يحتاج
123,125,too,أيضا
124,126,feel,يشعر
125,127,state,حالة
126,128,never,أبدا
127,129,become,يصبح
128,130,between,بين
129,131,high,عالي
130,132,really,حقا
131,133,something,شيء ما
132,134,most,أكثر
133,135,another,آخر
134,136,much,كثير
135,137,family,عائلة
136,138,own,ملك
137,139,out,خارج
138,140,leave,يغادر
139,141,put,يضع
140,142,old,قديم
141,143,while,بينما
142,144,mean,يعني
143,145,on,على
144,146,keep,يحتفظ
145,147,student,طالب
146,148,why,لماذا
147,149,let,يدع
148,150,great,عظيم
149,151,same,نفس
150,152,big,كبير
151,153,group,مجموعة
152,154,begin,يبدأ
153,155,seem,يبدو
154,156,country,دولة
155,157,help,يساعد
156,158,talk,يتحدث
157,159,where,أين
158,160,turn,يستدير
159,161,problem,مشكلة
160,162,every,كل
161,163,start,يبدأ
162,164,hand,يد
163,165,might,ربما
164,167,part,جزء
165,168,about,حول
166,169,against,ضد
167,170,place,مكان
168,171,again,مرة أخرى
169,172,case,حالة
170,173,most,أغلب
171,174,week,أسبوع
172,175,company,شركة
173,176,where,أين
174,177,system,نظام
175,178,each,كل
176,179,right,يمين
177,180,program,برنامج
178,181,hear,يسمع
179,182,so,لذلك
180,183,question,سؤال
181,184,during,أثناء
182,185,play,يلعب
183,186,government,حكومة
184,187,run,يركض
185,188,small,صغير
186,189,number,رقم
187,190,off,إيقاف
188,191,always,دائما
189,192,move,ينتقل
190,193,like,مثل
191,194,night,ليلة
192,195,live,يعيش
193,196,Mr,السيد
194,197,point,نقطة
195,198,believe,يؤمن
196,199,hold,يمسك
197,200,today,اليوم
198,201,bring,يجلب
199,202,happen,يحدث
200,203,next,التالي
201,204,without,بدون
202,205,before,قبل
203,206,large,كبير
204,207,all,كل
205,208,million,مليون
206,209,must,يجب
207,210,home,منزل
208,211,under,تحت
209,212,water,ماء
210,213,room,غرفة
211,214,write,يكتب
212,215,mother,أم
213,216,area,منطقة
214,217,money,مال
215,218,story,قصة
216,219,young,شاب
217,220,fact,حقيقة
218,221,month,شهر
219,222,different,مختلف
220,223,lot,كثير
221,224,right,حق
222,225,study,يدرس
223,226,book,كتاب
224,227,eye,عين
225,228,job,وظيفة
226,229,word,كلمة
227,230,though,رغم
228,231,business,عمل
229,232,issue,قضية
230,233,side,جانب
231,234,kind,نوع
232,235,four,أربعة
233,236,head,رأس
234,237,far,بعيد
235,238,black,أسود
236,239,long,طويل
237,240,both,كلاهما
