English,Arabic
the,ال
be,يكون
and,و
of,من
a,أ
in,في
to,إلى
have,لديه
it,إنه
I,أنا
that,ذلك
for,ل
you,أنت
he,هو
with,مع
on,على
do,فعل
say,يقول
this,هذا
they,هم
at,في
but,لكن
we,نحن
his,له
from,من
not,ليس
by,بواسطة
she,هي
or,أو
as,كما
what,ماذا
go,يذهب
their,لهم
can,يمكن
who,من
get,يحصل على
if,إذا
would,سيكون
her,لها
all,الكل
my,لي
make,يصنع
about,عن
know,يعرف
will,سوف
up,فوق
one,واحد
time,وقت
there,هناك
year,سنة
so,لذلك
think,يفكر
when,متى
which,أي
them,هم
some,بعض
me,أنا
people,الناس
take,يأخذ
out,خارج
into,في
just,فقط
see,يرى
him,هو
your,لك
come,يأتي
could,يستطيع
now,الآن
than,أكثر من
like,يحب
other,آخر
how,كيف
then,ثم
its,له
our,لنا
two,اثنان
more,أكثر
these,هؤلاء
want,يريد
way,طريق
look,ينظر
first,أول
also,أيضا
new,جديد
because,لأن
day,يوم
more,أكثر
use,يستخدم
no,لا
man,رجل
find,يجد
here,هنا
thing,شيء
give,يعطي
many,كثير
well,جيد
only,فقط
those,أولئك
tell,يخبر
one,واحد
very,جدا
her,لها
even,حتى
back,الى الخلف
any,أي
good,جيد
woman,امرأة
through,عبر
us,نحن
life,حياة
child,طفل
work,عمل
down,أسفل
may,قد
after,بعد
should,يجب
call,يتصل
world,عالم
over,فوق
school,مدرسة
still,ما زال
try,يحاول
in,في
as,كما
last,أخير
ask,يسأل
need,يحتاج
too,أيضا
feel,يشعر
three,ثلاثة
state,حالة
never,أبدا
become,يصبح
between,بين
high,عالي
really,حقا
something,شيء ما
most,أكثر
another,آخر
much,كثير
family,عائلة
own,ملك
out,خارج
leave,يغادر
put,يضع
old,قديم
while,بينما
mean,يعني
on,على
keep,يحتفظ
student,طالب
why,لماذا
let,يدع
great,عظيم
same,نفس
big,كبير
group,مجموعة
begin,يبدأ
seem,يبدو
country,دولة
help,يساعد
talk,يتحدث
where,أين
turn,يستدير
problem,مشكلة
every,كل
start,يبدأ
hand,يد
might,ربما
show,يعرض
part,جزء
about,حول
against,ضد
place,مكان
again,مرة أخرى
case,حالة
most,أغلب
week,أسبوع
company,شركة
where,أين
system,نظام
each,كل
right,يمين
program,برنامج
hear,يسمع
so,لذلك
question,سؤال
during,أثناء
play,يلعب
government,حكومة
run,يركض
small,صغير
number,رقم
off,إيقاف
always,دائما
move,ينتقل
like,مثل
night,ليلة
live,يعيش
Mr,السيد
point,نقطة
believe,يؤمن
hold,يمسك
today,اليوم
bring,يجلب
happen,يحدث
next,التالي
without,بدون
before,قبل
large,كبير
all,كل
million,مليون
must,يجب
home,منزل
under,تحت
water,ماء
room,غرفة
write,يكتب
mother,أم
area,منطقة
national,وطني
money,مال
story,قصة
young,شاب
fact,حقيقة
month,شهر
different,مختلف
lot,كثير
right,حق
study,يدرس
book,كتاب
eye,عين
job,وظيفة
word,كلمة
though,رغم
business,عمل
issue,قضية
side,جانب
kind,نوع
four,أربعة
head,رأس
far,بعيد
black,أسود
long,طويل
both,كلاهما
little,قليل
